#{"t_start": 1774737337.9330404, "env_id": "None"}
r,l,t
157.0,11,30.566028
263.0,13,30.587563
259.0,18,30.613753
254.0,14,30.634226
223.0,13,30.652152
80.0,9,30.666193
196.0,17,30.693619
87.0,6,30.702493
183.0,11,30.71968
143.0,9,30.740362
306.0,21,30.770861
58.0,7,30.78161
170.0,9,30.794381
203.0,12,30.811351
166.0,11,30.828078
128.0,10,30.84444
165.0,9,30.85885
76.0,11,30.881949
198.0,12,30.898642
140.0,7,30.912901
249.0,18,30.945198
149.0,9,30.961659
171.0,9,30.99035
180.0,9,31.008886
207.0,11,31.027686
118.0,11,31.043266
183.0,7,31.05381
270.0,18,31.075946
257.0,16,31.094966
188.0,9,31.10732
160.0,9,31.119417
176.0,13,31.137541
350.0,26,31.168883
349.0,28,33.773524
143.0,7,33.786304
157.0,13,33.806553
150.0,11,33.824642
225.0,10,33.843294
235.0,11,33.860273
150.0,9,33.871529
174.0,14,33.888585
116.0,9,33.90043
228.0,14,33.919328
100.0,7,33.929855
163.0,12,33.945764
240.0,13,33.962925
175.0,9,33.973117
267.0,17,33.993577
173.0,10,34.007506
219.0,12,34.024478
239.0,11,34.038152
227.0,15,34.056376
114.0,9,34.07092
214.0,10,34.086824
217.0,12,34.103293
209.0,12,34.120203
280.0,18,34.144256
166.0,13,34.163504
185.0,12,34.180424
180.0,9,34.1931
171.0,9,34.204139
195.0,12,34.223085
215.0,19,34.246894
193.0,10,34.2593
220.0,13,34.275182
125.0,9,34.286381
198.0,8,34.298277
272.0,17,34.321148
290.0,17,34.343741
210.0,11,34.359724
187.0,14,34.376576
158.0,9,34.389067
302.0,14,34.408845
220.0,14,34.429296
246.0,14,34.447457
261.0,13,34.457689
70.0,5,34.461067
191.0,9,34.466745
183.0,12,34.475872
196.0,11,34.484895
38.0,7,34.489399
250.0,16,34.501225
